timestamp,OPEN_UNICORN_HORNS,HIGH_UNICORN_HORNS,LOW_UNICORN_HORNS,CLOSE_UNICORN_HORNS,VOLUME_UNICORN_HORNS,,OPEN_ELVEN_WINE,HIGH_ELVEN_WINE,LOW_ELVEN_WINE,CLOSE_ELVEN_WINE,VOLUME_ELVEN_WINE,,OPEN_VAMPIRE_BLOOD,HIGH_VAMPIRE_BLOOD,LOW_VAMPIRE_BLOOD,CLOSE_VAMPIRE_BLOOD,VOL_VAMPIRE_BLOOD,,OPEN_PHOENIX_FEATHERS,HIGH_PHOENIX_FEATHERS,LOW_PHOENIX_FEATHERS,CLOSE_PHOENIX_FEATHERS,VOL_PHOENIX_FEATHERS,,AJOY,ARAVIND,KEVIN,LAKSHMAN,SASTIKAA,SHASHWAT
1,5000,5006.14779,4998.125366,5003.911255,4011,,100,100.1179836,99.84400856,100,1131.394127,,333,333,333,333,713,,234.7424142,235.3078205,234.714987,235,965,,0,0,0,0,0,0
2,5003.911255,5003.960338,4998.773175,5000.203966,303,,100,100.0869381,99.42115625,99.54236407,1012.349746,,333,333,332.2213307,332.2213307,183,,235.2073689,236.0806664,234.7703514,234.8610597,549,,0,0,0,0,0,0
3,5000.203966,5004.021851,4998.545044,5002.207869,2307,,99.54236407,99.61937715,99.01805731,99.08367664,881.3356903,,332.2213307,332.8489609,332.2213307,332.8489609,651,,234.5563705,235.1421575,234.4844799,234.9504336,796,,0,0,1,0,0,0
4,5002.207869,5016.715398,5001.369995,5016.194553,16294,,99.08367664,99.6375489,98.896483,99.55042336,920.0803594,,332.8489609,333.8362366,332.8489609,333.8362366,921,,234.659091,234.9094784,232.6066998,233.3246818,161,,0,0,0,1,0,0
5,5016.194553,5018.054202,5002.303121,5003.132145,3232,,99.55042336,99.72350338,99.11020573,99.20289918,831.5684092,,333.8362366,339.4885853,333.8362366,339.4885853,361,,233.5254643,233.6693257,233.2196906,233.4252578,380,,0,0,0,0,0,0
6,5003.132145,5003.156657,4999.812841,5000.949664,1049,,99.20289918,99.30702305,98.84686884,98.89855532,1111.048129,,339.4885853,339.8919471,339.4885853,339.8919471,601,,233.1967087,233.2370395,231.0973387,231.100599,765,,0,0,0,0,1,0
7,5000.949664,5003.148787,4990.500109,4991.868419,8231,,98.89855532,99.09576388,98.78271112,99.09115589,879.7929047,,339.8919471,339.8919471,338.9012407,338.9012407,259,,231.3369418,231.4756618,230.2530369,230.3822599,230,,0,0,0,0,0,0
8,4991.868419,5007.788825,4990.19752,5005.431128,5531,,99.09115589,99.55642202,98.906353,99.48496654,901.4936857,,338.9012407,339.3931435,338.9012407,339.3931435,915,,230.8359962,230.9058525,228.945443,229.434169,928,,0,0,0,0,0,0
9,5005.431128,5006.941369,5002.055855,5002.108025,2208,,99.48496654,100.0720133,99.46980419,99.928227,7738.607318,,339.3931435,339.6112974,339.3931435,339.6112974,835,,229.060187,231.2731392,228.9810058,231.2719125,128,,0,0,0,0,0,0
10,5002.108025,5006.354147,5001.437589,5005.995592,6095,,99.928227,101.9864062,99.82374897,101.7949895,977.0866403,,339.6112974,340.3857645,339.6112974,340.3857645,712,,231.5725833,232.8061369,231.0439284,232.4594473,905,,0,0,1,0,0,1
11,5005.995592,5007.40034,4983.375812,4983.725413,16374,,101.7949895,101.8560405,101.3481109,101.5197371,1200.424186,,340.3857645,340.3857645,339.7510945,339.7510945,712,,232.2748525,232.5782907,230.9456259,231.2554028,102,,0,0,0,1,0,0
12,4983.725413,5006.510005,4981.292796,5005.487777,5587,,101.5197371,101.6004388,101.1800103,101.2312265,8958.823404,,339.7510945,345.9986671,339.7510945,345.9986671,884,,231.2446277,231.4471523,229.8939081,229.9724535,811,,0,0,0,0,0,0
13,5005.487777,5007.987061,4994.424631,4996.514089,3585,,101.2312265,101.388629,99.26705731,99.34268467,859.1449401,,345.9986671,345.9986671,345.9950898,345.9950898,335,,229.5966291,231.3391943,229.0397537,231.1495606,860,,0,0,0,0,0,0
14,4996.514089,4997.582783,4995.821303,4996.543328,3556,,99.34268467,99.36810861,99.26711086,99.28293388,924.5677802,,345.9950898,346.25771,345.9950898,346.25771,137,,230.6263611,232.1492871,230.524202,231.531276,295,,0,0,0,0,0,0
15,4996.543328,4998.002873,4991.280791,4993.103435,6996,,99.28293388,99.44984348,99.2599381,99.33770678,1026.748449,,346.25771,346.25771,345.5524175,345.5524175,918,,231.9009688,231.9210574,231.447651,231.6951451,296,,0,0,0,0,0,0
16,4993.103435,4995.711134,4991.242205,4993.821676,6278,,99.33770678,99.53583653,99.27106317,99.36178218,1130.603628,,345.5524175,346.0630353,345.5524175,346.0630353,798,,232.3721961,232.7795332,231.4935472,231.6262513,237,,0,0,0,0,0,0
17,4993.821676,4994.207714,4990.955033,4991.095353,9004,,99.36178218,99.50345056,99.20328891,99.48768281,937.9355975,,346.0630353,346.0630353,345.8137428,345.8137428,568,,232.0186495,232.3289778,229.9133412,230.15311,521,,0,0,0,0,0,0
18,4991.095353,5003.049154,4990.418736,5001.257143,1357,,99.48768281,99.67379854,98.98082663,99.16181629,836.386572,,345.8137428,346.2139679,345.8137428,346.2139679,742,,230.0794563,230.4992132,229.2286669,230.3774623,227,,0,0,0,0,0,0
19,5001.257143,5003.723278,4990.753627,4993.190837,6909,,99.16181629,99.66643801,99.14660357,99.53419472,968.2842072,,346.2139679,346.6560457,346.2139679,346.6560457,187,,230.3935149,230.8123148,229.3444291,229.4727755,643,,0,0,0,0,0,0
20,4993.190837,4999.518853,4991.446398,4998.956206,1143,,99.53419472,100.1156091,99.41795475,99.9270765,917.592122,,346.6560457,346.6560457,345.7427215,345.7427215,679,,229.0399869,230.5812991,228.9815512,230.4840178,781,,0,0,0,0,0,0
21,4998.956206,5001.366083,4998.301379,5001.23273,1332,,99.9270765,100.0068745,99.68882749,99.79303336,1038.121138,,345.7427215,345.7427215,345.0159272,345.0159272,713,,229.9848708,231.2515163,229.9254829,231.223824,669,,0,0,0,0,0,0
22,5001.23273,5002.776625,4991.842841,4993.42147,6678,,99.79303336,100.0100323,99.69666451,99.95744486,9918.002448,,345.0159272,345.8642207,345.0159272,345.8642207,146,,231.0123551,231.7362014,230.8448498,231.5648312,581,,0,0,0,0,0,0
23,4993.42147,5010.92682,4991.09167,5010.562096,10662,,99.95744486,100.1548499,99.89071006,100.0484716,9428.868742,,345.8642207,346.378991,345.8642207,346.378991,286,,232.3800643,232.4387224,230.8014106,231.2423906,216,,0,0,0,0,0,0
24,5010.562096,5011.837072,4983.219413,4984.268556,15831,,100.0484716,101.9424204,99.91698561,101.7469232,1065.978866,,346.378991,347.0282864,346.378991,347.0282864,553,,231.679801,231.7311494,230.256422,230.4303964,976,,0,0,0,0,0,0
25,4984.268556,5004.246281,4983.960394,5002.908079,3008,,101.7469232,101.8578413,101.2399526,101.4364186,8587.25749,,347.0282864,347.0282864,346.1754057,346.1754057,335,,229.8544243,230.5743537,229.3006329,230.3041866,801,,0,0,0,0,0,0
26,5002.908079,5003.022732,4993.587833,4994.182712,5917,,101.4364186,101.5327962,101.2069018,101.3201843,9270.299213,,346.1754057,346.8275953,346.1754057,346.8275953,114,,229.4538435,231.2901256,229.2196948,231.2653255,489,,0,0,0,0,1,0
27,4994.182712,5004.714325,4992.098819,5004.138549,4238,,101.3201843,101.4928499,99.86577901,100.0404664,1014.687775,,346.8275953,346.8275953,345.9052341,345.9052341,570,,231.0161257,231.0989044,230.7519986,230.91193,521,,0,0,0,0,0,0
28,5004.138549,5004.734995,4987.381836,4987.702155,12397,,100.0404664,100.5591311,99.85179986,100.4234398,5038.448558,,345.9052341,345.9052341,345.8383274,345.8383274,345,,231.1531586,234.1491191,231.1520044,233.9662486,509,,0,0,0,0,0,0
29,4987.702155,5009.966121,4987.559386,5009.86289,9962,,100.4234398,100.512273,100.1712184,100.2347983,9750.728587,,345.8383274,345.8383274,345.4682477,345.4682477,729,,234.3690113,234.5731401,232.7516786,232.9228841,975,,0,0,0,0,0,0
