timestamp,signal
1,NIL
2,NIL
3,NIL
4,NIL
5,NIL
6,NIL
7,NIL
8,NIL
9,NIL
10,NIL
11,VAMPIRE_BLOOD
12,NIL
13,NIL
14,NIL
15,NIL
16,NIL
17,NIL
18,NIL
19,NIL
20,NIL
21,NIL
22,ORBS
23,ELVEN_WINE
24,NIL
25,NIL
26,NIL
27,NIL
28,ORBS
29,PHOENIX_FEATHERS
30,NIL
31,NIL
32,NIL
33,ORBS
34,VAMPIRE_BLOOD
35,NIL
36,NIL
37,NIL
38,NIL
39,NIL
40,NIL
41,NIL
42,NIL
43,NIL
44,NIL
45,NIL
46,NIL
47,ORBS
48,ELVEN_WINE
49,ORBS
50,PHOENIX_FEATHERS
51,NIL
52,ORBS
53,UNICORN_HORNS
54,NIL
55,NIL
56,NIL
57,ORBS
58,UNICORN_HORNS
59,NIL
60,NIL
61,NIL
62,NIL
63,NIL
64,NIL
65,NIL
66,NIL
67,NIL
68,ORBS
69,ELVEN_WINE
70,NIL
71,NIL
72,NIL
73,NIL
74,NIL
75,NIL
76,NIL
77,NIL
78,NIL
79,NIL
80,NIL
81,NIL
82,NIL
83,NIL
84,NIL
85,NIL
86,NIL
87,NIL
88,NIL
89,NIL
90,NIL
91,NIL
92,ORBS
93,UNICORN_HORNS
94,NIL
95,NIL
96,NIL
97,NIL
98,ORBS
99,VAMPIRE_BLOOD
100,NIL
101,NIL
102,NIL
103,NIL
104,NIL
105,NIL
106,NIL
107,NIL
108,NIL
109,NIL
110,NIL
111,NIL
112,NIL
113,NIL
114,NIL
115,ORBS
116,PHOENIX_FEATHERS
117,ORBS
118,VAMPIRE_BLOOD
119,NIL
120,ORBS
121,UNICORN_HORNS
122,ORBS
123,ELVEN_WINE
124,NIL
125,NIL
126,ORBS
127,UNICORN_HORNS
128,NIL
129,NIL
130,NIL
131,NIL
132,NIL
133,NIL
134,NIL
135,NIL
136,NIL
137,ORBS
138,VAMPIRE_BLOOD
139,NIL
140,NIL
141,NIL
142,NIL
143,NIL
144,NIL
145,NIL
146,ORBS
147,PHOENIX_FEATHERS
148,NIL
149,ORBS
150,ELVEN_WINE
151,NIL
152,ORBS
153,ELVEN_WINE
154,NIL
155,NIL
156,NIL
157,ORBS
158,ELVEN_WINE
159,NIL
160,ORBS
161,VAMPIRE_BLOOD
162,NIL
163,NIL
164,NIL
165,NIL
166,NIL
167,NIL
168,NIL
169,NIL
170,NIL
171,NIL
172,NIL
173,NIL
174,NIL
175,NIL
176,NIL
177,ORBS
178,ELVEN_WINE
179,NIL
180,NIL
181,NIL
182,NIL
183,NIL
184,NIL
185,NIL
186,NIL
187,NIL
188,NIL
189,NIL
190,ORBS
191,ELVEN_WINE
192,NIL
193,NIL
194,NIL
195,NIL
196,NIL
197,NIL
198,NIL
199,NIL
200,NIL
201,ORBS
202,UNICORN_HORNS
203,ORBS
204,PHOENIX_FEATHERS
205,NIL
206,NIL
207,NIL
208,NIL
209,NIL
210,NIL
211,NIL
212,NIL
213,NIL
214,ORBS
215,ELVEN_WINE
216,NIL
217,NIL
218,ORBS
219,VAMPIRE_BLOOD
220,ORBS
221,ELVEN_WINE
222,NIL
223,ORBS
224,VAMPIRE_BLOOD
225,NIL
226,ORBS
227,ELVEN_WINE
228,NIL
229,NIL
230,NIL
231,ORBS
232,ELVEN_WINE
233,NIL
234,ORBS
235,PHOENIX_FEATHERS
236,NIL
237,NIL
238,ORBS
239,ELVEN_WINE
240,NIL
241,ORBS
242,VAMPIRE_BLOOD
243,NIL
244,ORBS
245,VAMPIRE_BLOOD
246,NIL
247,NIL
248,NIL
249,NIL
250,NIL
251,NIL
252,NIL
253,NIL
254,NIL
255,ORBS
256,ELVEN_WINE
257,NIL
258,NIL
259,NIL
260,NIL
261,NIL
262,NIL
263,NIL
264,NIL
265,NIL
266,ORBS
267,VAMPIRE_BLOOD
268,NIL
269,NIL
270,ORBS
271,UNICORN_HORNS
272,ORBS
273,VAMPIRE_BLOOD
274,NIL
275,ORBS
276,ELVEN_WINE
277,NIL
278,NIL
279,NIL
280,NIL
281,NIL
282,NIL
283,NIL
284,NIL
285,NIL
286,NIL
287,NIL
288,NIL
289,NIL
290,NIL
291,NIL
292,NIL
293,NIL
294,NIL
295,ORBS
296,UNICORN_HORNS
297,NIL
298,NIL
299,NIL
300,NIL
301,NIL
302,NIL
303,NIL
304,NIL
305,NIL
306,ORBS
307,ELVEN_WINE
308,NIL
309,NIL
310,NIL
311,NIL
312,NIL
313,NIL
314,NIL
315,NIL
316,NIL
317,NIL
318,NIL
319,NIL
320,NIL
321,NIL
322,ORBS
323,PHOENIX_FEATHERS
324,NIL
325,NIL
